sku,stock,product_type,overall_shape,seating_capacity,upholstery_material,upholstery_color,wayfair_overall_width_in,wayfair_overall_depth_in,wayfair_overall_height_in,product_weight_lbs,package_weight_lbs,base_cost,pieces_included,dims_source,extract_notes
W714S02105,26.0,Sectional,L-Shaped,2,Chenille,Beige,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02106,26.0,Sectional,L-Shaped,2,Chenille,Beige,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02108,26.0,Sectional,L-Shaped,3,Chenille,Beige,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02109,26.0,Sectional,L-Shaped,3,Chenille,Beige,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S02096,30.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02150,30.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02098,23.0,Sectional,L-Shaped,2,Chenille,Pink,69.2,57.4,35.8,136.0,162.0,373.24,Ottoman,vl,
W714S02099,30.0,Sectional,L-Shaped,3,Chenille,Pink,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02100,30.0,Sectional,L-Shaped,3,Chenille,Pink,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S02087,34.0,Sectional,L-Shaped,2,Chenille,Green,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02088,34.0,Sectional,L-Shaped,2,Chenille,Green,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02089,24.0,Sectional,L-Shaped,2,Chenille,Green,69.2,57.4,35.8,136.0,162.0,373.24,Ottoman,vl,
W714S02090,34.0,Sectional,L-Shaped,3,Chenille,Green,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02091,34.0,Sectional,L-Shaped,3,Chenille,Green,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S02078,30.0,Sectional,L-Shaped,2,Chenille,Brown,69.2,35.8,34.6,92.0,106.0,232.2,Does Not Apply,vl,
W714S02079,30.0,Sectional,L-Shaped,2,Chenille,Brown,69.2,57.4,35.8,114.0,134.0,302.72,Ottoman,vl,
W714S02151,22.0,Sectional,L-Shaped,2,Chenille,Brown,69.2,57.4,35.8,136.0,162.0,373.24,Ottoman,vl,
W714S02081,30.0,Sectional,L-Shaped,3,Chenille,Brown,98.0,35.8,34.6,130.0,150.0,325.94,Does Not Apply,vl,
W714S02082,30.0,Sectional,L-Shaped,3,Chenille,Brown,98.0,34.6,35.8,152.0,178.0,396.46,Ottoman,vl,
W714S01942,57.0,Loveseat,Rectangle,2,Chenille,Brown,70.8,35.4,34.6,99.0,116.6,220.16,Does Not Apply,vl,
W714S01943,57.0,Sectional,L-Shaped,2,Chenille,Brown,70.8,34.6,34.2,123.2,145.2,293.26,Ottoman,vl,
W714S01944,32.0,Sectional,L-Shaped,2,Chenille,Brown,70.8,35.4,34.6,147.4,173.8,366.36,Ottoman,vl,
W714S01945,41.0,Sectional,L-Shaped,3,Chenille,Brown,101.1,34.6,34.2,137.5,161.7,310.46,Does Not Apply,vl,
W714S01946,41.0,Sectional,L-Shaped,3,Chenille,Brown,101.1,58.2,34.6,161.7,190.3,383.56,Ottoman,vl,
W714S01960,48.0,Loveseat,Rectangle,2,Chenille,Green,70.8,35.4,34.6,99.0,116.6,220.16,Does Not Apply,vl,
W714S01961,48.0,Sectional,L-Shaped,2,Chenille,Green,70.8,34.6,34.2,123.2,145.2,293.26,Ottoman,vl,
W714S01962,30.0,Sectional,L-Shaped,2,Chenille,Green,70.8,35.4,34.6,147.4,173.8,366.36,Ottoman,vl,
W714S01963,41.0,Sectional,L-Shaped,3,Chenille,Green,101.1,34.6,34.2,137.5,161.7,310.46,Does Not Apply,vl,
