sku,is_combo,combo_box_count,net_weight_lbs,gross_weight_lbs,child_combo,assembled_length_in,assembled_width_in,assembled_height_in,package_length_in,package_width_in,package_height_in,page_price,page_shipping,giga_url,status,notes
W714S02067,True,2,111.32,128.0,W714P508120x1 | W714P508121x1,72.4,36.6,36.6,,,,237.38,78.62,https://www.gigab2b.com/product/W714S02067,collected,"assembled_from_vl,missing_package_lwh"
W714S02068,True,3,136.62,159.0,W714P508120x1 | W714P508121x1 | W714P508161x1,72.4,64.9,36.6,,,,307.93,99.31,https://www.gigab2b.com/product/W714S02068,collected,"assembled_from_vl,missing_package_lwh"
W714S02069,True,4,161.92,190.0,W714P508120x1 | W714P508121x1 | W714P508161x2,72.4,64.9,36.6,,,,378.48,120.0,https://www.gigab2b.com/product/W714S02069,collected,"assembled_from_vl,missing_package_lwh"
W714S02070,True,3,153.12,177.0,W714P508120x1 | W714P508121x1 | W714P508155x1,104.3,36.6,36.6,,,,332.83,115.8,https://www.gigab2b.com/product/W714S02070,collected,"assembled_from_vl,missing_package_lwh"
W714S02058,True,2,111.32,128.0,W714P508142x1 | W714P508147x1,72.4,36.6,36.6,,,,237.38,78.62,https://www.gigab2b.com/product/W714S02058,collected,"assembled_from_vl,missing_package_lwh"
W714S02059,True,3,136.62,159.0,W714P508142x1 | W714P508147x1 | W714P508168x1,72.4,64.9,36.6,,,,307.93,99.31,https://www.gigab2b.com/product/W714S02059,collected,"assembled_from_vl,missing_package_lwh"
W714S02060,True,4,161.92,190.0,W714P508142x1 | W714P508147x1 | W714P508168x2,72.4,64.9,36.6,,,,378.48,120.0,https://www.gigab2b.com/product/W714S02060,collected,"assembled_from_vl,missing_package_lwh"
W714S02061,True,3,153.12,177.0,W714P508142x1 | W714P508147x1 | W714P508166x1,104.3,36.6,36.6,,,,332.83,115.8,https://www.gigab2b.com/product/W714S02061,collected,"assembled_from_vl,missing_package_lwh"
W714S02049,True,2,111.32,128.0,W714P508170x1 | W714P508175x1,72.4,36.6,36.6,,,,237.38,78.62,https://www.gigab2b.com/product/W714S02049,collected,"assembled_from_vl,missing_package_lwh"
W714S02050,True,3,136.62,159.0,W714P508170x1 | W714P508175x1 | W714P508180x1,,,,,,,307.93,99.31,https://www.gigab2b.com/product/W714S02050,hold_missing_dims,"missing_assembled,missing_package_lwh"
W714S02051,True,4,161.92,190.0,W714P508170x1 | W714P508175x1 | W714P508180x2,72.4,64.9,36.6,,,,378.48,120.0,https://www.gigab2b.com/product/W714S02051,collected,"assembled_from_vl,missing_package_lwh"
W714S02052,True,3,153.12,177.0,W714P508170x1 | W714P508175x1 | W714P508176x1,104.3,36.6,36.6,,,,332.83,115.8,https://www.gigab2b.com/product/W714S02052,collected,"assembled_from_vl,missing_package_lwh"
W714S02040,True,2,111.32,128.0,W714P508182x1 | W714P508188x1,72.4,36.6,36.6,,,,237.38,78.62,https://www.gigab2b.com/product/W714S02040,collected,"assembled_from_vl,missing_package_lwh"
W714S02041,True,3,136.62,159.0,W714P508182x1 | W714P508188x1 | W714P508196x1,72.4,65.3,36.6,,,,307.93,99.31,https://www.gigab2b.com/product/W714S02041,collected,"assembled_from_vl,missing_package_lwh"
W714S02042,True,4,161.92,190.0,W714P508182x1 | W714P508188x1 | W714P508196x2,,,,,,,378.48,120.0,https://www.gigab2b.com/product/W714S02042,hold_missing_dims,"missing_assembled,missing_package_lwh"
W714S02043,True,3,153.12,177.0,W714P508182x1 | W714P508188x1 | W714P508193x1,104.3,36.6,36.6,,,,332.83,115.8,https://www.gigab2b.com/product/W714S02043,collected,"assembled_from_vl,missing_package_lwh"
